,ItinID,MktID,MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
19104,20181796376,2.01818E+12,2,1,PHX,81,JAX,33,1786,2,1,AA,303.26
585899,2.01811E+11,2.01811E+13,1,1,DCA,38,MCO,33,759,2,1,B6,92
503697,2.01811E+11,2.01811E+13,1,1,SEA,93,LAX,91,954,2,1,AS,175
203029,2.01812E+11,2.01812E+13,1,1,SAN,91,MSP,63,1532,2,1,DL,291.5
701494,2.01812E+11,2.01812E+13,1,1,SEA,93,MCO,33,2554,2,1,DL,183
1015875,20181307382,2.01813E+12,1,1,DFW,74,HNL,2,3784,1,1,AA,451.5
778159,2.01814E+11,2.01814E+13,1,1,BNA,54,SAT,74,822,2,2,WN,329.48
83383,2.01811E+11,2.01811E+13,1,1,ANC,1,OME,1,539,1,1,AS,657
353280,20181578361,2.01816E+12,1,1,DFW,74,MCO,33,985,2,5,AA,158
34368,20181813922,2.01818E+12,1,1,PHX,81,SLC,87,507,2,18,AA,150
1005810,20181295608,2.01813E+12,1,1,DFW,74,CLT,36,936,2,1,AA,216.92
206784,2.01812E+11,2.01812E+13,1,1,MSP,63,SLC,87,991,2,9,DL,167
847819,2.01814E+11,2.01814E+13,1,1,DAL,74,LAX,91,1246,2,1,WN,267
661200,2.01811E+11,2.01811E+13,1,1,ORH,13,MCO,33,1091,2,1,B6,305.5
639438,2.01811E+11,2.01811E+13,1,1,SLC,87,JFK,22,1990,2,1,B6,248
831878,2.01814E+11,2.01814E+13,1,1,LAS,85,CMH,44,1771,2,1,WN,321
215308,2.01812E+11,2.01812E+13,1,1,JAN,53,ATL,34,341,2,2,DL,92.52
770669,2.01813E+11,2.01813E+13,1,1,BOS,13,IAH,74,1597,2,1,UA,276.34
916220,2.01814E+11,2.01814E+13,1,1,GEG,93,BUR,91,927,2,1,WN,148.79
531719,2.01811E+11,2.01811E+13,1,1,SEA,93,SJC,91,696,2,1,AS,302
308238,2.01814E+11,2.01814E+13,1,1,ORD,41,SAT,74,1041,2,1,UA,117
933233,2.01814E+11,2.01814E+13,1,1,HOU,74,MSP,63,1057,2,1,WN,356.84
1009420,20181301158,2.01813E+12,1,1,DCA,38,DFW,74,1192,2,1,AA,285
735355,2.01812E+11,2.01812E+13,1,1,SMF,91,SLC,87,532,2,2,DL,104
820502,2.01814E+11,2.01814E+13,1,1,BWI,35,SMF,91,2395,2,1,WN,188
931157,2.01814E+11,2.01814E+13,1,1,HOU,74,MCI,64,666,2,1,WN,291.5
911871,2.01814E+11,2.01814E+13,2,1,FLL,33,ATL,34,581,2,1,WN,128
264909,2.01814E+11,2.01814E+13,1,1,MCO,33,EWR,21,937,2,2,UA,599
